Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1689.9102
FDW14,OUT017,1398.0792
NCN55,OUT010,656.02563
FDQ58,OUT017,2397.6792
FDY38,OUT027,6280.435
FDH56,OUT046,1903.7849
FDL48,OUT018,660.8236
FDC48,OUT027,2143.4392
FDN33,OUT045,1534.76
FDA36,OUT017,3090.9944
FDT44,OUT017,1973.1786
FDQ56,OUT045,1428.883
NCC54,OUT019,606.7552
FDU11,OUT049,2165.5276
DRL59,OUT013,761.5959
FDM24,OUT049,2361.1633
FDI57,OUT045,3153.6055
DRC12,OUT018,2748.1672
NCM42,OUT027,3011.5615
FDA46,OUT010,603.8402
FDA31,OUT013,2904.7544
NCJ31,OUT035,3788.4417
FDG52,OUT046,745.34094
NCL19,OUT019,359.86307
FDS10,OUT035,2883.5984
FDX22,OUT010,765.1872
NCF19,OUT035,783.6345
NCE06,OUT046,2491.258
DRC27,OUT046,3724.9404
FDE21,OUT035,1979.4541
NCR42,OUT019,196.31412
FDX51,OUT018,2744.651
NCR06,OUT018,621.5701
FDU31,OUT027,5613.762
FDU59,OUT017,2550.4734
FDR03,OUT027,5339.686
FDS49,OUT027,2293.0518
FDD48,OUT010,360.44662
NCF18,OUT017,3095.0137
NCD43,OUT027,2538.0828
NCD54,OUT018,1709.7009
FDY19,OUT010,355.64264
NCY54,OUT017,2799.7522
NCL19,OUT018,2125.4668
FDP23,OUT010,764.2399
FDC26,OUT013,1793.8525
FDR14,OUT010,265.76074
NCS41,OUT035,3214.4495
FDF41,OUT035,3851.8042
FDU34,OUT046,2149.827
DRH11,OUT046,868.0837
FDM03,OUT013,1701.4818
FDS31,OUT017,3012.5486
FDJ20,OUT017,2080.6453
FDV44,OUT027,5065.405
FDG02,OUT049,3219.3865
FDA09,OUT013,3024.3477
FDT04,OUT013,679.5812
FDL58,OUT019,513.0899
FDE52,OUT045,1411.2095
FDW12,OUT035,2406.7231
FDL51,OUT017,3527.194
NCY42,OUT027,3337.8406
FDR07,OUT017,1518.2606
FDN40,OUT045,2299.777
FDB35,OUT027,2571.061
FDA22,OUT017,2711.3936
NCL06,OUT046,3962.9333
FDI35,OUT013,3042.3743
NCW42,OUT045,3514.4421
NCX06,OUT049,3027.6638
FDC37,OUT027,2588.0156
FDZ14,OUT018,1751.3694
DRG49,OUT049,4347.656
NCG06,OUT045,3780.8167
DRC36,OUT045,2879.6526
FDV21,OUT019,316.32355
FDB53,OUT046,2387.438
DRP47,OUT019,658.85077
FDA14,OUT013,2424.5354
DRC24,OUT035,2560.231
FDW21,OUT018,1626.4207
NCH29,OUT046,1680.9751
FDU58,OUT013,3111.715
FDY27,OUT017,2785.8965
FDV56,OUT035,1729.3044
FDT59,OUT046,3739.8147
FDB23,OUT046,3690.0815
FDR49,OUT045,780.51196
FDB03,OUT010,736.27545
FDN39,OUT045,2600.7275
FDX02,OUT027,5513.052
FDQ16,OUT027,2591.7874
FDU35,OUT018,1519.0886
NCT29,OUT013,2124.2534
FDZ27,OUT046,749.69586
FDN57,OUT017,2175.5845
FDA03,OUT018,2066.9019
FDZ36,OUT045,3120.9304
NCU05,OUT013,1286.7803
FDT39,OUT018,2116.1204
FDK60,OUT017,1513.059
FDZ25,OUT017,3019.0073
FDG12,OUT046,2092.4756
DRB01,OUT019,562.17664
NCC43,OUT027,5954.4766
FDX13,OUT019,601.1497
FDM22,OUT049,880.17224
FDJ03,OUT027,1333.0707
FDU14,OUT018,3481.84
FDB33,OUT010,526.1788
FDP27,OUT046,3073.423
FDO38,OUT010,380.0515
FDE28,OUT027,6324.902
FDO27,OUT035,1554.3658
DRL23,OUT027,2485.6128
FDS28,OUT046,852.4941
FDX24,OUT013,1426.1487
FDZ02,OUT035,1523.8436
FDL46,OUT045,1941.0996
FDS60,OUT027,5068.527
NCO06,OUT017,651.15656
FDO16,OUT035,1548.3033
FDC60,OUT049,1517.847
FDA48,OUT018,3154.7014
FDZ36,OUT027,5178.223
FDK27,OUT045,2053.1458
FDW23,OUT018,605.50397
FDM14,OUT018,1569.0049
FDM14,OUT013,1728.5544
FDW60,OUT018,2623.1626
FDE21,OUT013,1993.75
NCM42,OUT035,1715.8943
FDY59,OUT010,330.7117
DRI49,OUT049,1285.4503
FDT28,OUT019,400.0353
FDQ22,OUT018,576.5985
FDR60,OUT049,1236.9337
FDC50,OUT019,324.35922
FDV24,OUT013,2359.689
DRF48,OUT010,609.4877
FDQ47,OUT046,657.13763
DRN36,OUT049,1527.5624
NCY06,OUT035,2148.5073
FDE52,OUT035,1437.7446
NCB54,OUT045,2050.0918
NCF31,OUT035,2430.173
FDJ08,OUT027,4910.223
NCC07,OUT017,1724.7705
NCD19,OUT027,1681.998
FDL46,OUT049,1971.8705
FDM20,OUT045,3964.4075
NCI06,OUT010,561.2201
DRM11,OUT035,4048.3655
NCH07,OUT018,2354.5598
FDS23,OUT013,2159.8496
FDO49,OUT018,657.42834
FDS35,OUT049,1025.2798
DRK39,OUT045,1348.014
DRI39,OUT049,894.81055
FDV04,OUT017,2489.9927
NCN14,OUT035,3152.9426
FDH08,OUT013,4089.3328
FDS20,OUT046,3247.5671
FDV40,OUT049,1172.0288
FDZ48,OUT010,320.6439
FDS24,OUT027,2218.508
FDK44,OUT049,2924.1753
FDS48,OUT045,2523.1582
FDK26,OUT010,647.77924
FDD23,OUT045,3195.007
NCH54,OUT017,2756.3906
NCP14,OUT010,316.7891
FDM60,OUT010,213.77698
FDV24,OUT017,2399.5688
FDH08,OUT018,3201.7478
FDS12,OUT027,3085.784
FDR39,OUT027,4972.8643
FDP12,OUT027,971.4711
DRF60,OUT027,6508.547
FDC09,OUT035,1674.3253
FDF50,OUT018,3057.153
FDG28,OUT035,4039.8774
NCE19,OUT017,909.49286
NCM53,OUT010,324.34332
NCN18,OUT049,1715.599
FDF32,OUT035,3268.2961
FDF11,OUT013,4130.407
DRI59,OUT049,3960.0237
NCG54,OUT035,2903.401
FDM44,OUT046,1641.7438
FDT57,OUT018,3173.086
FDV24,OUT046,2363.4736
FDI50,OUT019,642.60425
FDS09,OUT035,794.8241
NCC31,OUT027,3936.9236
FDQ07,OUT019,548.5274
FDC22,OUT017,3175.4436
FDZ56,OUT046,2782.106
FDZ40,OUT019,275.1127
FDS46,OUT027,3041.1084
DRD24,OUT045,2121.7585
FDV45,OUT017,3173.5164
FDL26,OUT045,2469.5671
FDA56,OUT018,1768.532
FDN27,OUT046,1861.3823
FDM20,OUT049,4234.1445
FDO16,OUT017,1526.0508
FDL03,OUT035,3163.9395
FDE58,OUT046,1986.5603
FDI02,OUT027,3077.7234
NCC55,OUT019,216.55833
FDR03,OUT018,3114.3125
FDB14,OUT017,1495.386
FDR45,OUT013,4190.3403
NCN07,OUT017,2205.3762
FDM51,OUT019,297.5648
FDT52,OUT027,6434.006
FDL26,OUT046,2400.491
NCZ42,OUT046,3821.373
DRI47,OUT019,438.57864
FDW40,OUT013,2187.528
FDN34,OUT046,2880.9368
FDS01,OUT035,3090.4177
NCG55,OUT045,1957.0238
FDC11,OUT035,1398.6686
FDX35,OUT018,3171.6902
NCB06,OUT046,2564.848
FDR09,OUT019,558.48047
FDC53,OUT017,1553.5074
FDY45,OUT013,4256.123
FDA22,OUT010,609.96826
FDE02,OUT035,1560.6276
FDW21,OUT045,1812.3163
FDV34,OUT046,1038.819
FDS59,OUT049,1712.5345
NCW17,OUT017,2284.6335
NCK54,OUT046,1938.8441
FDG17,OUT019,601.3735
FDG35,OUT017,2794.1343
FDD08,OUT010,204.21281
NCO07,OUT017,3718.9343
FDJ10,OUT010,421.2693
FDW36,OUT017,1677.2924
FDW21,OUT010,446.6711
FDY19,OUT017,2023.404
DRE03,OUT013,742.8932
NCC55,OUT049,695.5711
FDH52,OUT010,287.72342
FDO09,OUT017,3999.5562
FDU43,OUT045,3905.817
FDX09,OUT010,534.2842
FDH40,OUT019,327.03714
FDW58,OUT017,1707.6791
FDC47,OUT017,3753.7935
NCR41,OUT035,1562.4952
DRG49,OUT035,4173.6597
FDC52,OUT027,3523.6614
FDY13,OUT046,1201.3633
FDY35,OUT013,719.82776
FDI35,OUT017,3171.1
NCU18,OUT049,2270.1501
FDY33,OUT018,2374.8896
FDC15,OUT027,3246.2395
FDU01,OUT049,3115.0552
NCU42,OUT046,2838.8384
NCV29,OUT018,2680.6023
NCY30,OUT017,3217.1238
FDQ46,OUT049,1793.5946
FDG58,OUT027,3903.7585
FDK33,OUT017,3672.4375
NCD07,OUT045,1903.488
NCX29,OUT027,3769.7053
NCT42,OUT013,2327.9492
DRN59,OUT035,781.2023
FDI44,OUT035,1313.4023
FDA45,OUT049,2448.8271
FDP31,OUT045,978.96063
FDY01,OUT046,1919.293
FDT09,OUT018,1817.1088
DRH03,OUT027,2300.196
FDA36,OUT018,2536.258
NCF31,OUT017,2430.173
FDG14,OUT049,2472.6274
FDG28,OUT027,6422.2363
FDU14,OUT049,4015.6106
FDY47,OUT019,332.73862
FDI56,OUT049,1390.4109
DRD01,OUT013,857.48724
FDM22,OUT046,861.55524
FDH33,OUT013,703.7903
DRZ24,OUT013,1946.0409
NCQ38,OUT046,1690.566
FDO16,OUT027,2225.5269
FDU07,OUT027,3780.0073
NCB07,OUT013,3038.409
FDU48,OUT045,2122.1821
NCM43,OUT045,2827.0027
FDR31,OUT010,528.6341
DRK49,OUT018,597.2138
NCI30,OUT010,858.5147
DRD60,OUT017,3068.9692
NCG19,OUT046,3485.4683
FDH12,OUT035,1678.9481
FDM32,OUT035,1484.4078
FDM27,OUT035,2489.312
NCU53,OUT027,4356.262
NCQ18,OUT046,1627.6625
FDS10,OUT013,2793.5212
FDB33,OUT027,4079.6372
FDI12,OUT013,1374.5671
NCW42,OUT013,3429.913
NCC06,OUT018,1790.6796
FDW02,OUT017,2215.776
NCD43,OUT017,1692.7146
FDM57,OUT018,1066.2788
FDA58,OUT017,3805.7153
FDK56,OUT046,3050.5293
FDP52,OUT045,4020.7295
FDW20,OUT018,1749.9092
FDS52,OUT049,1603.9757
NCT29,OUT018,1710.0502
NCL54,OUT013,3002.1116
FDC05,OUT045,3111.4873
FDF34,OUT035,3247.697
FDP03,OUT027,3199.1243
FDD32,OUT010,330.94406
FDZ10,OUT045,2164.8572
FDZ40,OUT035,903.04083
FDD51,OUT018,608.55566
NCY30,OUT019,506.0059
FDP58,OUT017,3419.9958
FDV49,OUT017,4212.8857
FDY24,OUT019,259.22357
NCO55,OUT017,1687.4323
FDR13,OUT017,1957.984
FDS51,OUT017,1006.14154
FDP26,OUT045,1623.1362
NCB54,OUT027,3238.3884
FDF32,OUT017,3254.5547
FDN31,OUT018,2813.9004
DRM48,OUT017,682.3586
FDN20,OUT049,2834.989
DRL01,OUT046,3861.7317
FDV56,OUT049,1710.4417
DRH13,OUT027,2481.8223
FDA03,OUT017,2459.2153
FDF47,OUT027,5168.248
FDX32,OUT046,2469.0288
FDX57,OUT049,1558.7255
NCA30,OUT045,2903.6748
FDO49,OUT013,738.7052
FDL04,OUT019,284.6041
DRM48,OUT035,682.3586
FDR16,OUT013,3370.4387
NCC19,OUT018,2769.6274
NCE42,OUT045,3529.0857
